datetime,symbol,open,high,low,close,volume
2018-05-09,BITKUB:BTCTHB,293000.0,300000.0,287000.0,295950.0,2.13215752
2018-05-10,BITKUB:BTCTHB,295950.0,299000.0,289351.0,299000.0,0.53647344
2018-05-11,BITKUB:BTCTHB,294005.0,296000.0,270150.0,270150.0,1.88968769
2018-05-12,BITKUB:BTCTHB,270151.0,288253.0,270150.0,280000.0,0.23178556
2018-05-13,BITKUB:BTCTHB,280000.0,288252.0,277000.0,277200.0,1.81717482
2018-05-14,BITKUB:BTCTHB,277200.0,283000.0,272000.0,283000.0,2.55310623
2018-05-15,BITKUB:BTCTHB,281000.0,283892.0,280000.0,282500.0,2.06246209
2018-05-16,BITKUB:BTCTHB,282500.0,282500.0,266000.0,270100.0,0.60424683
2018-05-17,BITKUB:BTCTHB,274300.0,274300.0,269500.0,269500.0,0.92281421
2018-05-18,BITKUB:BTCTHB,269500.0,277239.0,262500.0,263800.0,2.26211206
2018-05-19,BITKUB:BTCTHB,267000.0,272000.0,265210.0,270387.0,2.52112065
2018-05-20,BITKUB:BTCTHB,268470.0,270500.0,264999.0,270500.0,3.2427132
2018-05-21,BITKUB:BTCTHB,270500.0,274500.0,270000.0,272170.0,2.09105591
2018-05-22,BITKUB:BTCTHB,273700.0,273700.0,265800.0,265800.0,2.07317261
2018-05-23,BITKUB:BTCTHB,265800.0,267100.0,250900.0,250900.0,6.77849871
2018-05-24,BITKUB:BTCTHB,250000.0,258699.0,241600.0,254400.0,2.69490394
2018-05-25,BITKUB:BTCTHB,254400.0,254400.0,240800.0,244700.0,1.84216544
2018-05-26,BITKUB:BTCTHB,249499.0,249499.0,242000.0,243600.0,2.24728973
2018-05-27,BITKUB:BTCTHB,243999.0,243999.0,237000.0,237000.0,4.7144111
2018-05-28,BITKUB:BTCTHB,239200.0,239300.0,231005.0,235600.0,4.07419979
2018-05-29,BITKUB:BTCTHB,234000.0,239690.0,229001.0,238800.0,5.29609626
2018-05-30,BITKUB:BTCTHB,238800.0,243999.0,237500.0,237501.0,7.12530172
2018-05-31,BITKUB:BTCTHB,237501.0,241050.0,235000.0,240000.0,5.14668521
2018-06-01,BITKUB:BTCTHB,240400.0,241800.0,237500.0,238600.0,5.72489248
2018-06-02,BITKUB:BTCTHB,239600.0,243000.0,238650.0,241000.0,4.83278203
2018-06-03,BITKUB:BTCTHB,242650.0,245200.0,241500.0,244500.0,3.17165231
2018-06-04,BITKUB:BTCTHB,244500.0,244500.0,239580.0,242900.0,5.1241406
2018-06-05,BITKUB:BTCTHB,240000.5,240000.5,237300.0,239800.0,4.63198042
2018-06-06,BITKUB:BTCTHB,237500.0,242950.0,237500.0,242788.0,3.11533573
2018-06-07,BITKUB:BTCTHB,242600.0,245300.0,241890.0,244000.0,5.49927197
2018-06-08,BITKUB:BTCTHB,243600.0,244800.0,241000.0,241500.0,5.65202316
2018-06-09,BITKUB:BTCTHB,242000.0,244000.0,241500.0,241800.0,3.80845407
2018-06-10,BITKUB:BTCTHB,241800.0,244000.0,231500.0,233480.0,5.61109831
2018-06-11,BITKUB:BTCTHB,232900.0,233480.0,215000.0,222000.0,5.22193943
2018-06-12,BITKUB:BTCTHB,221800.0,226000.0,220700.0,222998.5,2.86068844
2018-06-13,BITKUB:BTCTHB,220800.0,225000.0,100000.0,214000.0,3.11596864
2018-06-14,BITKUB:BTCTHB,214000.0,214000.0,175006.0,210000.0,2.71336804
2018-06-15,BITKUB:BTCTHB,210000.0,217999.0,209510.0,213500.0,1.02822561
2018-06-16,BITKUB:BTCTHB,215000.0,215000.0,209000.0,209000.0,2.06810637
2018-06-17,BITKUB:BTCTHB,210000.0,218995.0,209000.0,212800.0,1.9290519
2018-06-18,BITKUB:BTCTHB,212010.0,214232.0,208500.0,214232.0,2.99146305
2018-06-19,BITKUB:BTCTHB,214232.0,218500.0,214232.0,218105.0,2.76387844
2018-06-20,BITKUB:BTCTHB,218498.99,218498.99,214000.0,215000.0,2.68899589
2018-06-21,BITKUB:BTCTHB,217500.0,220000.0,217500.0,218210.0,2.19724757
2018-06-22,BITKUB:BTCTHB,220000.0,222222.0,202000.0,209000.0,4.49985485
2018-06-23,BITKUB:BTCTHB,209000.0,209000.0,201000.0,204700.0,1.53478824
2018-06-24,BITKUB:BTCTHB,204698.0,205000.0,197000.89,205000.0,3.42635234
2018-06-25,BITKUB:BTCTHB,205000.0,207900.0,200000.0,207900.0,1.87195768
2018-06-26,BITKUB:BTCTHB,205705.0,208300.0,200000.0,205700.0,3.91900044
2018-06-27,BITKUB:BTCTHB,205700.0,208000.0,200000.0,202100.0,3.60823417
2018-06-28,BITKUB:BTCTHB,202230.0,206000.0,202110.0,204500.0,4.45336927
2018-06-29,BITKUB:BTCTHB,203250.5,204500.0,197500.0,198700.0,7.37489918
2018-06-30,BITKUB:BTCTHB,199100.0,215900.0,195000.0,211000.0,7.36831915
2018-07-01,BITKUB:BTCTHB,212700.0,213000.0,205000.0,205000.0,3.78079497
2018-07-02,BITKUB:BTCTHB,208900.0,219666.0,207000.0,219666.0,7.63854099
2018-07-03,BITKUB:BTCTHB,218800.0,220000.0,215888.0,215900.0,4.92079898
2018-07-04,BITKUB:BTCTHB,215888.0,298625.0,209600.0,219900.0,7.62418898
2018-07-05,BITKUB:BTCTHB,220000.0,353500.0,215850.0,215900.0,7.37779046
2018-07-06,BITKUB:BTCTHB,220000.0,220000.0,215355.0,217000.0,2.79974504
2018-07-07,BITKUB:BTCTHB,217000.0,219000.0,216110.0,218000.0,2.54868932
2018-07-08,BITKUB:BTCTHB,218000.0,221800.0,216300.0,221333.0,2.69704146
2018-07-09,BITKUB:BTCTHB,221333.0,221525.0,218500.0,220000.0,5.20779691
2018-07-10,BITKUB:BTCTHB,220000.0,220000.0,190000.0,190700.0,4.46708851
2018-07-11,BITKUB:BTCTHB,211399.0,217400.0,192301.0,212600.0,5.97553651
2018-07-12,BITKUB:BTCTHB,212700.0,214000.0,206000.0,208000.0,6.05881568
2018-07-13,BITKUB:BTCTHB,208000.0,211800.0,207400.0,211800.0,5.01028841
2018-07-14,BITKUB:BTCTHB,211800.0,212800.0,207401.0,210000.0,10.63254688
2018-07-15,BITKUB:BTCTHB,210001.0,298500.0,209150.0,298500.0,6.47137212
2018-07-16,BITKUB:BTCTHB,250000.0,250000.0,212547.0,219555.0,5.43156244
2018-07-17,BITKUB:BTCTHB,220000.0,221666.0,217000.0,221666.0,4.81132704
2018-07-18,BITKUB:BTCTHB,219000.0,251000.0,219000.0,240004.0,2.42961562
2018-07-19,BITKUB:BTCTHB,240100.0,245444.0,234000.0,241000.0,4.69770421
2018-07-20,BITKUB:BTCTHB,242000.0,247500.0,240500.0,247500.0,5.87190433
2018-07-21,BITKUB:BTCTHB,247500.0,249997.0,241800.0,244999.0,2.95925947
2018-07-22,BITKUB:BTCTHB,244400.0,250000.0,244000.0,248677.0,4.53154979
2018-07-23,BITKUB:BTCTHB,248677.0,256054.0,236000.0,255344.0,6.01099018
2018-07-24,BITKUB:BTCTHB,255344.0,279666.0,254010.0,274000.0,5.54520408
2018-07-25,BITKUB:BTCTHB,273250.0,282000.0,265555.0,282000.0,3.76227476
2018-07-26,BITKUB:BTCTHB,266000.0,275000.0,266000.0,275000.0,1.97956327
2018-07-27,BITKUB:BTCTHB,272100.0,273222.0,260001.0,273222.0,4.06645668
2018-07-28,BITKUB:BTCTHB,270000.0,273222.0,265800.0,265800.0,2.64936996
2018-07-29,BITKUB:BTCTHB,270000.0,273222.0,265902.0,270000.0,5.3998856
2018-07-30,BITKUB:BTCTHB,270000.0,270800.0,268000.0,270800.0,3.45582509
2018-07-31,BITKUB:BTCTHB,270000.0,270900.0,260000.0,263600.0,4.74180037
2018-08-01,BITKUB:BTCTHB,263600.0,263666.0,251200.0,254500.0,4.72734812
2018-08-02,BITKUB:BTCTHB,254500.0,259990.0,252990.0,253333.0,3.43849438
2018-08-03,BITKUB:BTCTHB,252800.0,254888.0,240001.0,254888.0,5.12546897
2018-08-04,BITKUB:BTCTHB,245888.0,253900.0,237642.0,245400.0,3.86566429
2018-08-05,BITKUB:BTCTHB,237000.01,249999.99,231000.0,231000.0,2.65150581
2018-08-06,BITKUB:BTCTHB,233767.0,245000.0,231001.0,233000.01,4.13006528
2018-08-07,BITKUB:BTCTHB,229000.0,245000.0,225000.0,233609.0,12.54615113
2018-08-08,BITKUB:BTCTHB,233457.0,236398.0,208153.0,208755.0,29.94908145
2018-08-09,BITKUB:BTCTHB,210531.0,219767.0,204480.0,216601.0,36.79092629
2018-08-10,BITKUB:BTCTHB,214143.0,221396.0,210000.0,213772.0,35.23542694
2018-08-11,BITKUB:BTCTHB,213848.0,218990.0,201123.0,207721.0,34.7249949
